jsfx_slider,vst3_id,jsfx_name,ui_name,default,minimum,maximum,step,choices,page,source_occurrences
33,slider033,Clap Hit Level,Clap Hit Level,1,0,1,0.01,,Clap,13
34,slider034,Clap Filter Tone,Clap Filter Tone,0,-2,2,0.01,,Clap,11
35,slider035,Clap Character,Clap Character,0.5,0,2,0.01,,Clap,8
36,slider036,Clap Filter Decay Follow,Clap Filter Decay Follow,0.5,0,1,0.01,,Clap,9
37,slider037,Clap Sequence Balance,Clap Sequence Balance,0.5,0,1,0.01,,Clap,16
38,slider038,Clap Body Size,Clap Body Size,0.5,0,1,0.01,,Clap,14
39,slider039,Clap Dirt,Clap Dirt,0,0,1,0.01,,Clap,22
40,slider040,Low Tom Pan,Low Tom Pan,-0.5,-1,1,0.01,,Toms,8
41,slider041,Low Tom Click Level,Low Tom Click Level,0.56999999999999995,0,1,0.01,,Toms,7
42,slider042,Low Tom Tune,Low Tom Tune,0,-2,2,0.01,,Toms,7
43,slider043,Low Tom Pitch Decay,Low Tom Pitch Decay,0.041000000000000002,0,1,0.001,,Toms,7
44,slider044,Low Tom Pitch Amount,Low Tom Pitch Amount,0.29999999999999999,0,1,0.01,,Toms,8
45,slider045,Low Tom Decay,Low Tom Decay,0.10000000000000001,0.001,1,0.001,,Toms,7
46,slider046,Low Tom Noise Level,Low Tom Noise Level,0.10000000000000001,0,3,0.01,,Toms,7
47,slider047,Low Tom Noise LPF,Low Tom Noise LPF,0.10000000000000001,0.01,1,0.01,,Toms,7
48,slider048,Mid Tom Pan,Mid Tom Pan,0,-1,1,0.01,,Toms,8
49,slider049,Mid Tom Click Level,Mid Tom Click Level,0.65000000000000002,0,1,0.01,,Toms,7
50,slider050,Mid Tom Tune,Mid Tom Tune,0.059999999999999998,-2,2,0.01,,Toms,7
51,slider051,Mid Tom Pitch Decay,Mid Tom Pitch Decay,0.041000000000000002,0,1,0.001,,Toms,7
52,slider052,Mid Tom Pitch Amount,Mid Tom Pitch Amount,0.16,0,1,0.01,,Toms,8
53,slider053,Mid Tom Decay,Mid Tom Decay,0.10000000000000001,0.001,1,0.001,,Toms,7
54,slider054,Mid Tom Noise Level,Mid Tom Noise Level,0.10000000000000001,0,3,0.01,,Toms,7
55,slider055,Mid Tom Noise LPF,Mid Tom Noise LPF,0.10000000000000001,0.01,1,0.01,,Toms,7
56,slider056,High Tom Pan,High Tom Pan,0.5,-1,1,0.01,,Toms,8
